"ProteinGroup","Gene","Description","KO_1G4_r1","KO_1G4_r2","KO_1G4_r3","KO_1G4_r4","KO_3G4_r1","KO_3G4_r2","KO_3G4_r3","KO_3G4_r4","LTED_r1","LTED_r2","LTED_r3","LTED_r4","WT_r1","WT_r2","WT_r3","WT_r4"
"A0A0C4DGA6;Q14527","HLTF","Helicase-like transcription factor",24989.66015625,26166.234375,22931.419921875,24688.775390625,28189.19140625,23627.841796875,23017.783203125,27437.23828125,52069.5234375,44150.9375,39682.58203125,39884.5625,37437.03125,39390.0625,39737.6015625,NA
"A0A0C4DGA7;O94929","ABLIM3","Actin-binding LIM protein 3",28669.33203125,10935.94921875,21482.01171875,1149.93334960938,20000.07421875,21927.2109375,15235.3017578125,23696.486328125,13069.5458984375,9967.966796875,11926.919921875,10961.6923828125,187.756484985352,6334.16357421875,5456.1630859375,NA
"A0A0C4DGB5","CAST","Calpastatin",515917.1875,160853.6875,267380.875,147678.84375,204947.46875,261572.640625,285370.15625,239242.09375,100682.328125,43337.35546875,52878.22265625,49652.24609375,73309.21875,117955.515625,83323.140625,NA
"A0A0C4DGB6;H0YA55;P02768","ALB","Serum albumin;Serum albumin (Fragment);Serum albumin",29717592,42279732,29020262,60610588,18094762,34190940,12225913,41712580,31122452,16465509,39047260,29248866,14486239,12186321,29906896,839681536
"A0A0C4DGB9","PPA2","Inorganic pyrophosphatase 2, mitochondrial",75101.796875,69150.1953125,74550.3125,75561.6953125,63619.3984375,68262.0703125,63259.8671875,61438.74609375,45471.84375,44478.765625,49921.26171875,52653.359375,26567.78125,35600.3984375,32162.046875,NA
"A0A0C4DGE4;A0A0J9YW33;A0A286YF28;Q13277","STX3","Syntaxin-3 (Fragment);Syntaxin-3;Syntaxin-3;Syntaxin-3",37974.82421875,36731.30859375,36109.63671875,43682.80859375,26813.908203125,29074.5625,32488.8046875,25953.11328125,26885.947265625,26453.708984375,26545.25390625,27999.498046875,36835.953125,31971.93359375,29771.005859375,NA
"A0A0C4DGG3;Q8NHM5","KDM2B","Lysine-specific demethylase 2B",13151.8525390625,15049.5517578125,13557.93359375,9778.642578125,16137.97265625,18457.228515625,13513.0869140625,18410.8203125,17421.958984375,15812.5439453125,16509.849609375,17734.48828125,13297.001953125,13708.884765625,13436.693359375,NA
"A0A0C4DGH0;Q5ZPR3","CD276","CD276 antigen",91280.859375,113322.0625,103289.5,90755.421875,100348.4375,117218.5703125,109304.1796875,74480.9453125,111679.8046875,77837.09375,104548.6796875,105074.5625,53600.140625,85215.421875,62621.26953125,NA
"A0A0C4DGH3;Q9Y6R0","NUMBL","Numb-like protein",21355.81640625,19323.421875,23076.548828125,15267.1259765625,14015.091796875,11051.865234375,6538.98193359375,15283.21484375,18001.9296875,18672.982421875,14235.009765625,14758.9423828125,34866.40234375,31708.640625,35629,NA
"A0A0C4DGI8;F8VUZ4;Q8N9I9","DTX3","Probable E3 ubiquitin-protein ligase DTX3 (Fragment);Probable E3 ubiquitin-protein ligase DTX3 (Fragment);Probable E3 ubiquitin-protein ligase DTX3",7041.501953125,5910.61083984375,5913.28564453125,7019.82470703125,10257.333984375,9902.6416015625,10181.4697265625,9547.693359375,5965.22998046875,7131.86669921875,7380.53759765625,8004.42236328125,3117.57934570313,3189.09301757813,5166.51416015625,NA
"A0A0C4DGI9;F8VU39;J3KPG5;Q9UIF9","BAZ2A","Bromodomain adjacent to zinc finger domain protein 2A (Fragment);Bromodomain adjacent to zinc finger domain protein 2A;Bromodomain adjacent to zinc finger domain protein 2A;Bromodomain adjacent to zinc finger domain protein 2A",8010.36181640625,5516.0556640625,9962.0087890625,5518.50830078125,12713.666015625,9266.2294921875,10883.337890625,16344.677734375,9565.3779296875,9030.1015625,7862.09814453125,11791.2666015625,9025.90625,12799.341796875,8700.947265625,NA
"A0A0C4DGJ7;Q8WUH1","CHURC1","Protein Churchill",4602.25732421875,5757.8818359375,4674.42236328125,3291.220703125,5956.1572265625,8707.1533203125,9018.9853515625,2225.119140625,6223.26123046875,3752.97802734375,4000.375,3548.2958984375,12842.3681640625,15054.369140625,13808.7255859375,NA
"A0A0C4DGJ8;Q6IPR1","ETFRF1","Electron transfer flavoprotein regulatory factor 1",9000.91015625,9420.7080078125,8398.953125,6026.52587890625,9653.2919921875,9648.728515625,7149.2041015625,9635.6171875,5986.818359375,5261.0078125,6357.43359375,7124.08447265625,8028.66943359375,10148.8212890625,8064.10302734375,NA
"A0A0C4DGN4;I3L1H9;I3L3X0;Q96DA0","ZG16B","Zymogen granule protein 16 homolog B;Zymogen granule protein 16 homolog B (Fragment);Zymogen granule protein 16 homolog B (Fragment);Zymogen granule protein 16 homolog B",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A0A0C4DGP0;E7EU35","PITPNC1","Cytoplasmic phosphatidylinositol transfer protein 1",49113.203125,43570.5078125,44809.04296875,59095.36328125,49580.234375,45689.58203125,49857.64453125,51874.66015625,48509.9375,43423.51953125,45460.375,43105.6328125,36130.80859375,35329.43359375,41334.08984375,NA
"A0A0C4DGQ5;P04632","CAPNS1","Calpain small subunit 1",634047.75,431356.53125,534313.8125,451718.6875,593584.125,673151.8125,714869.1875,495282,199359.125,347911.9375,405061,377632.28125,200841.9375,309039.625,235504.75,NA
"A0A0C4DGQ6;Q96P16","RPRD1A","Regulation of nuclear pre-mRNA domain-containing protein 1A",59494.453125,60149.95703125,66800.6328125,56055.8125,33004.91015625,39835.51953125,34895.54296875,34775.25390625,38672.9765625,43303.48046875,46638.6796875,44142.5390625,37929.3984375,38534.4765625,39688.75390625,NA
"A0A0C4DGQ8;Q6IAN0","DHRS7B","Dehydrogenase/reductase SDR family member 7B",89612.0703125,62384.66796875,71109.109375,61942.9453125,91729.921875,85130.1328125,94255.8359375,83164.4140625,95542.921875,87238.703125,95673,87817.4375,63364.40625,63607.9140625,52906.64453125,NA
"A0A0C4DGS1;P39656","DDOST","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit",1095641.125,1031047.0625,1040255.3125,1029064.25,1044771,1045425.125,1085787.875,1046182.6875,1062086,1035239.8125,1045477.1875,1067035.25,820742.25,915835.375,875296.8125,NA
"A0A0C4DGS9;Q9Y6K0","CEPT1","Choline/ethanolaminephosphotransferase 1",132186.734375,117168.2890625,152554.4375,119665.3515625,95987.7890625,95813.46875,103017.5546875,128229.84375,141165.40625,123290.640625,119380.0390625,137744.375,97076.0078125,120233.3984375,120894,NA
"A0A0C4DGT4;Q643R3","LPCAT4","Lysophospholipid acyltransferase LPCAT4",12692.783203125,9186.8330078125,12495.455078125,11171.8955078125,11413.5029296875,7533.263671875,11846.009765625,11557.240234375,14211.11328125,14952.4345703125,13486.673828125,14277.1884765625,11047.1728515625,9842.5,12042.1650390625,NA
"A0A0C4DGU2;Q9Y4U1","MMACHC","Methylmalonic aciduria and homocystinuria type C protein",9541.259765625,10635.0458984375,10825.935546875,7274.27685546875,6874.65478515625,7769.3173828125,6216.8759765625,8636.3837890625,13539.5908203125,16779.263671875,17160.1640625,15601.216796875,11959.28125,16104.130859375,14570.958984375,NA
"A0A0C4DGW0;A0A3B3IRK3;B4DGY6;H7C5F7;Q9NV92","NDFIP2","NEDD4 family-interacting protein 2",7315.15869140625,6280.3154296875,6167.21630859375,3748.31225585938,4473.5703125,4510.67724609375,4126.1435546875,4586.29638671875,5542.8525390625,3939.30712890625,4432.6123046875,5621.8798828125,5835.29736328125,5810.4423828125,5834.423828125,NA
"A0A0C4DGW2;E5RGQ6;E5RH07;P57768","SNX16","Sorting nexin-16;Sorting nexin-16 (Fragment);Sorting nexin-16 (Fragment);Sorting nexin-16",1822.29455566406,2185.8779296875,2478.32934570313,2649.55102539063,1382.38635253906,2249.91821289063,2426.81298828125,2031.77185058594,1898.20678710938,666.183959960938,943.005187988281,1392.65454101563,1013.82818603516,1369.22521972656,1184.28833007813,NA
"A0A0C4DGZ1;Q8N5P1","ZC3H8","Zinc finger CCCH domain-containing protein 8",23303.435546875,20808.017578125,20849.103515625,17262.65625,14665.2568359375,16786.99609375,13619.578125,14610.443359375,18364.970703125,22370.87109375,19394.05859375,20458.529296875,38430.765625,33891.484375,43855.203125,NA
"A0A0C4DH01;Q9NVU0","POLR3E","DNA-directed RNA polymerase III subunit RPC5",12289.8798828125,12615.90234375,12439.998046875,8783.41015625,11469.794921875,12084.5146484375,11112.498046875,12099.3701171875,10772.6083984375,10714.9794921875,9966.74609375,9655.6533203125,17610.701171875,17885.00390625,18628.76953125,NA
"A0A0C4DH14;Q6P5X5","C22orf39","UPF0545 protein C22orf39",2575.15698242188,2934.58862304688,2868.19311523438,939.684753417969,2587.10229492188,2606.45532226563,2260.89990234375,2582.3095703125,2937.08959960938,2297.84155273438,2877.83837890625,3117.06469726563,2552.93994140625,1679.27294921875,2337.421875,NA
"A0A0C4DH22;A0A1B0GTW6;Q9H4G0","EPB41L1","Band 4.1-like protein 1",24884.06640625,24257.62890625,24147.486328125,23260.654296875,17512.10546875,18029.876953125,19958.35546875,16973.908203125,24725.576171875,24425.33203125,23558.52734375,24717.28125,22970.501953125,25193.408203125,23831.76171875,NA
"A0A0D2X7Z3;Q49AN0","CRY2","Cryptochrome-2",21264.455078125,16456.556640625,18193.82421875,6402.33544921875,6224.77001953125,16328.6650390625,5129.3798828125,10856.0009765625,11266.35546875,5262.09521484375,11200.6650390625,13666.4306640625,9403.966796875,7545.0966796875,2734.66430664063,NA
"A0A0D9SEI0;Q9P0P8","MTRES1","Mitochondrial transcription rescue factor 1",20095.7890625,27790.673828125,19214.947265625,28606.8203125,7111.7255859375,16537.8046875,28066.482421875,25241.35546875,16075.654296875,3827.9833984375,11129.9169921875,14123.5009765625,5589,8442.3798828125,8834.583984375,NA
"A0A0D9SEI3;A0A0D9SEN2;A0A0D9SER5;P21127","CDK11B","Cyclin-dependent kinase 11B",185991.265625,170407.546875,185069.953125,183873.078125,173736.46875,168255.78125,167218.25,178133.875,187978.4375,178667.5625,177407.265625,189322.046875,202224.96875,187949.6875,186761.046875,NA
"A0A0D9SEJ5;F5GY05;Q96EK7","FAM120B","Constitutive coactivator of peroxisome proliferator-activated receptor gamma",61827.9140625,58874.83984375,59997.921875,50546.98828125,50042.515625,50499.77734375,43910.921875,50610.43359375,54639.0859375,51178.59375,50817.63671875,47473.5390625,37483.48046875,39142.57421875,35401.9921875,NA
"A0A0D9SEU5;Q6VN20;R4GMX8","RANBP10","Ran-binding protein 10",24417.990234375,22653.548828125,24761.228515625,21312.79296875,36136.15234375,33935.0546875,37803.3125,37211.31640625,21936.201171875,19148.728515625,18226.107421875,17862.4453125,25823.35546875,28928.3125,26029.712890625,NA
"A0A0D9SEY1;E7EN19;E7ENQ1;G3XAA2;G5E948;H7C360;O95819","MAP4K4","Mitogen-activated protein kinase kinase kinase kinase 4;Mitogen-activated protein kinase kinase kinase kinase 4;Mitogen-activated protein kinase kinase kinase kinase 4;Mitogen-activated protein kinase kinase kinase kinase 4;Mitogen-activated protein kinase kinase kinase kinase 4;Mitogen-activated protein kinase kinase kinase kinase 4 (Fragment);Mitogen-activated protein kinase kinase kinase kinase 4",21997.392578125,21684.130859375,18667.001953125,13533.740234375,19213.583984375,16682.21875,18863.216796875,18033.248046875,13518.3486328125,11552.3837890625,14406.3251953125,12763.3603515625,22597.6640625,25868.171875,26247.30078125,NA
"A0A0D9SF28;F5GXV7;Q5T321;Q8NFP9","NBEA","Neurobeachin",14776.0419921875,17954.787109375,14710.8369140625,16326.73046875,20361.0546875,20095.6484375,18632.900390625,20456.357421875,16805.236328125,15294.701171875,13128.2197265625,15483.701171875,4038.31298828125,4947.32470703125,4536.18603515625,NA
"A0A0D9SF53;A0A0D9SFB3;A0A0D9SG12;A0A2R8Y4A4;A0A2R8YF78;A0A2R8YFS5;O00571","DDX3X","ATP-dependent RNA helicase DDX3X",1319878.25,1369555.875,1360040.125,1335586.875,1252673.625,1330397.5,1272553.625,1305750.875,1557526.75,1555378.375,1522780.875,1529698,1691579.75,1731289.125,1725328.5,NA
"A0A0D9SF60;Q99569","PKP4","Plakophilin-4",28806.591796875,23452.90234375,27228.25390625,24082.041015625,28168.5703125,19447.421875,28630.107421875,30003.123046875,32286.701171875,15890.7060546875,18965.46875,20933.498046875,6827.76806640625,8943.4345703125,7682.71484375,NA
"A0A0D9SFE4;A0A0U1RQP1;Q05193","DNM1","Dynamin-1",41750.74609375,53952.6171875,51240.390625,57906.046875,40210.109375,41831.7265625,41595.78125,41232.8828125,68909.1171875,64809.2265625,55593.44140625,57284.73828125,41060.05859375,41926.4453125,51197.9453125,NA
"A0A0D9SFG6;Q99418","CYTH2","Cytohesin-2",17424.44921875,16666.615234375,16119.60546875,16766.66015625,17497.177734375,20313.119140625,20886.92578125,19426.67578125,15780.501953125,15182.236328125,16430.25390625,16309.2333984375,14196.466796875,11680.1923828125,12767.712890625,NA
"A0A0D9SFH9;A0A1B0GV71;A0A1B0GW34;A0A1B0GWD3;Q13286","CLN3;CLN3;CLN3;;CLN3","Battenin",17687.4453125,18008.830078125,13512.078125,15368.0595703125,15770.2958984375,19095.28515625,19202.890625,17833.736328125,13531.01953125,10863.6494140625,12038.537109375,12817.6611328125,12700.7958984375,12031.1748046875,8442.1875,NA
"A0A0D9SFK2;Q92614","MYO18A","Unconventional myosin-XVIIIa",31004.552734375,30700.525390625,29537.703125,33796.65625,34794.10546875,40096.85546875,41232.36328125,33776.90625,30131.17578125,27361.470703125,26526.486328125,27329.697265625,30366.712890625,31173.0859375,23092.603515625,NA
"A0A0D9SFM0;Q149N8","SHPRH","E3 ubiquitin-protein ligase SHPRH",299077.3125,302210.875,339450.78125,147770.765625,319561.375,255882.9375,160380.96875,308809.9375,279559.03125,268636.4375,330338.9375,276786.0625,106868.3515625,110022.375,89097.9765625,NA
"A0A0D9SFR6;Q86XP1","DGKH","Diacylglycerol kinase;Diacylglycerol kinase eta",12483.05859375,13094.880859375,14119.7431640625,12317.0546875,9268.041015625,9851.6328125,7437.7119140625,8021.1142578125,9062.337890625,9451.0234375,8614.18359375,9972.09375,14980.173828125,16930.630859375,17266.400390625,NA
"A0A0D9SG71;P49459","UBE2A","Ubiquitin-conjugating enzyme E2 A",175574.875,179187.75,181946.734375,171937.75,158722.859375,174213.78125,150748.453125,182886.40625,179422.75,243734.0625,199301.796875,195501.296875,187560.234375,180519.3125,186403.328125,NA
"A0A0D9SG72;P61764","STXBP1","Syntaxin-binding protein 1",56208.3046875,60176.80078125,59851.87109375,55613.26953125,45610.890625,43172.9765625,43092.33203125,43498.296875,46301.40625,51768.86328125,49304.05859375,52222.078125,25456.255859375,29553.810546875,23227.279296875,NA
"A0A0D9SGE8;Q8IWS0","PHF6","PHD finger protein 6",53538.25,52322.5078125,49514.67578125,51763.9375,49081.2265625,50885.48046875,43505.46875,54011.8515625,58628.19140625,59309.9296875,57982.94140625,57547.67578125,35618.80859375,29873.484375,39040.90625,NA
"A0A0D9SGF6","SPTAN1","Spectrin alpha chain, non-erythrocytic 1",10380.7666015625,16315.28125,10656.916015625,13127.2646484375,6634.60693359375,10665.796875,6104.0126953125,7051.3046875,11419.9228515625,8915.1435546875,8567.69921875,7519.57763671875,14079.9150390625,8262.50390625,11371.5751953125,NA
"A0A0D9SGH0","SLC9A6","Sodium/hydrogen exchanger",18028.666015625,17665.392578125,17751.369140625,11832.9072265625,18269.4609375,14817.90234375,12674.337890625,14746.748046875,20036.49609375,19536.291015625,20006.83203125,20975.158203125,11822.0869140625,11885.810546875,10096.1669921875,NA
"A0A0D9SGJ6;C9JFZ1;J3KPK1;J3KQV8;O43426","SYNJ1","Synaptojanin-1",7167.2841796875,7478.5283203125,7000.53369140625,5411.49169921875,8188.87158203125,8058.5966796875,7270.73486328125,7553.43115234375,9253.3427734375,8414.6630859375,7672.97216796875,7074.98193359375,9931.6748046875,10040.7236328125,9332.5576171875,NA
"A0A0G2JH50","HLA-C","HLA class I histocompatibility antigen, C alpha chain",25062.748046875,18517.2265625,18523.990234375,9654.8271484375,38818.1328125,37352.05859375,20601.12890625,32390.791015625,19612.833984375,20109.5625,9150.328125,12298.6220703125,122748.3046875,133167.46875,92313.2578125,NA
"A0A0G2JH68;O60610","DIAPH1","Protein diaphanous homolog 1",238728.890625,247596.484375,238507.671875,234776.75,160319.671875,175417.15625,162516.984375,180686.65625,258293.90625,276346,257194,261060.0625,328646.65625,373348.125,348100.625,NA
"A0A0G2JHC2;Q6NYC8","PPP1R18","PPP1R18;Phostensin",17718.470703125,20733.9921875,20820.2578125,18601.185546875,21178.001953125,23900.8203125,23416.10546875,22267.259765625,18330.744140625,12999.759765625,13208.220703125,15117.8955078125,10271.4736328125,10070.5546875,12329.205078125,NA
"A0A0G2JIS2","EHMT2","Histone-lysine N-methyltransferase EHMT2",44795.3203125,46719.609375,47797.69140625,38797.70703125,40785.06640625,42193.7578125,37282.484375,49788.67578125,49921.66796875,52559.2421875,50988.31640625,53168.890625,43837.17578125,46251.4296875,47996.5390625,NA
"A0A0G2JIW1;P0DMV8;P0DMV9","HSPA1B;HSPA1A;HSPA1B","Heat shock 70 kDa protein 1B;Heat shock 70 kDa protein 1A;Heat shock 70 kDa protein 1B",12566162,11619655,12811669,12473113,12644899,14741488,13084463,13296310,10009844,10239180,10210927,10649570,7656512.5,6977332.5,6734682.5,172841472
"A0A0G2JJD3;O95870","ABHD16A","HLA-B associated transcript 5, isoform CRA_b;Phosphatidylserine lipase ABHD16A",76832.9453125,64571.97265625,70085.9765625,66770.7109375,69812.9140625,69705.109375,67369.4375,65690.4609375,53471.8515625,59684.53515625,63809.16015625,60507.63671875,46422.8203125,49523.6796875,48250.828125,NA
"A0A0G2JK44;A0A140T9E9;H0Y6K2;P25440","BRD2","Bromodomain-containing protein 2;Bromodomain-containing protein 2 (Fragment);Bromodomain-containing protein 2 (Fragment);Bromodomain-containing protein 2",39660.19140625,44840.14453125,38995.46875,45211.625,43960.1875,46391.39453125,40509.98046875,50546.87890625,54036.75,44333.11328125,46529.0390625,51540.546875,46556.8359375,37967.5859375,51185.03515625,NA
"A0A0G2JL52;B4E0K6","VARS2","VARS2;Valine--tRNA ligase, mitochondrial",15249.87890625,14219.8818359375,14361.599609375,13700.4677734375,19273.861328125,21687.083984375,22363.63671875,19995.501953125,16447.404296875,19049.63671875,19748.025390625,18349.61328125,18396.11328125,18874.615234375,18572.70703125,NA
"A0A0G2JM70;Q9NV79","PCMTD2","Protein-L-isoaspartate O-methyltransferase domain-containing protein 2",27927.193359375,22444.279296875,24141.33203125,31549.013671875,19268.078125,18728.10546875,21310.892578125,18381.201171875,25301.3828125,23197.099609375,17807.2109375,15126.697265625,6346.1162109375,6613.17041015625,11276.7841796875,NA
"A0A0G2JMZ8;Q16625","OCLN","Occludin",86613.640625,111029,108920.8359375,100601.1328125,73407.265625,82523.25,83220.3125,78689.2109375,82448.453125,111649.625,109271.2734375,121262.6015625,221075.625,214412.5625,177365.859375,NA
"A0A0G2JNB1;A0A0G2JNT7;A0A0G2JQF4;A0A0G2JQF5;A0A0J9YVS1;A0A1W2PPV8;A0A1W2PRB5;A0A3B3IT55;Q7Z3B3","KANSL1","KAT8 regulatory NSL complex subunit 1;KAT8 regulatory NSL complex subunit 1;KAT8 regulatory NSL complex subunit 1;KAT8 regulatory NSL complex subunit 1;KAT8 regulatory NSL complex subunit 1;KAT8 regulatory NSL complex subunit 1 (Fragment);KAT8 regulatory NSL complex subunit 1;KAT8 regulatory NSL complex subunit 1;KAT8 regulatory NSL complex subunit 1",6601.28173828125,8127.69580078125,3234.61083984375,NA,3568.1494140625,6464.8271484375,2975.43237304688,7148.1884765625,6028.98486328125,3041.87841796875,4824.666015625,3435.25708007813,2593.99536132813,4608.578125,4642.6220703125,NA
"A0A0G2JNH5;A0A0G2JP78;A0A0G2JPT5;O75943","RAD17","Cell cycle checkpoint protein RAD17",10868.2998046875,10528.236328125,10374.9833984375,9408.642578125,9494.5419921875,9954.4140625,9823.7802734375,10223.2412109375,14011.287109375,13527.0693359375,12047.849609375,13412.9912109375,11457.349609375,11858.6748046875,12648.265625,NA
"A0A0G2JNW7;Q9Y666","SLC12A7","Solute carrier family 12 member 7",55490.27734375,58419.375,58073.94140625,55446.51953125,51567.41796875,49295.57421875,48377.5859375,46006.890625,58511.609375,44102.3984375,39947.4140625,43023.578125,46698.3671875,41542.4453125,34558.046875,NA
"A0A0G2JNY3;A0A0G2JRG8;E9PIR1;Q6ZUM4","ARHGAP27","Rho GTPase-activating protein 27",14573.4443359375,13336.75390625,11924.08203125,8172.904296875,14329.8623046875,14551.982421875,9911.2861328125,11977.3388671875,9933.865234375,8316.4013671875,9511.5517578125,8923.8583984375,5743.5263671875,5322.345703125,3195.59814453125,NA
"A0A0G2JNZ2;A0A0G2JPP5;Q14160","SCRIB","Protein scribble homolog",125138.2734375,129825.328125,130897.4765625,150548.015625,115168.0546875,122603.59375,129248.703125,116751.703125,133679.25,112659.796875,103428.578125,114464.421875,108459.34375,120963.375,111506.984375,NA
"A0A0G2JP55;A8MTQ3;P0C1Z6","TFPT","TCF3 fusion partner",8287.44140625,4608.130859375,9725.8125,11810.74609375,6759.091796875,9191.73046875,13025.9072265625,9271.525390625,11887.8564453125,9506.9111328125,6878.3291015625,13386.251953125,9961.8271484375,6897.81787109375,11999.470703125,NA
"A0A0G2JPA8;A0A0J9YY65;C9JMH6;P08697","SERPINF2","Alpha-2-antiplasmin;Alpha-2-antiplasmin (Fragment);Alpha-2-antiplasmin (Fragment);Alpha-2-antiplasmin",29754.2890625,43710.2890625,38415.30859375,90438.421875,7859.5048828125,22730.322265625,28907.697265625,36671.89453125,28182.296875,15259.1123046875,25039.068359375,30024.423828125,12202.919921875,22696.14453125,16373.07421875,NA
"A0A0G2JPD5;A0A0G2JQJ7;P10636","MAPT","Microtubule-associated protein;Microtubule-associated protein;Microtubule-associated protein tau",180096.59375,178526.625,221552.140625,136622.203125,94543.0546875,90832.3515625,75057.359375,81722.109375,164921.25,130514.765625,130003.4765625,144540.9375,145316.265625,166117.90625,144174.796875,NA
"A0A0G2JPR0;A0A140TA32;A0A140TA44;A0A140TA49;P0C0L4","C4A","Complement C4-A",33876.234375,41547.26953125,33632.03515625,63172.73046875,24146.087890625,40024.9453125,17764.666015625,43715.89453125,42079.65625,19798.26171875,43460.2421875,30954.1796875,19567.9453125,16708.72265625,30995.11328125,NA
"A0A0G2JPZ6;A0A0J9YWU2;Q9H3Q3","GAL3ST2","Galactose-3-O-sulfotransferase 2 (Fragment);Galactose-3-O-sulfotransferase 2;Galactose-3-O-sulfotransferase 2",NA,NA,NA,NA,NA,1372.18286132813,NA,NA,1460.29992675781,NA,NA,NA,45895.625,48043.38671875,35149.6171875,NA
"A0A0G2JQ41;A0A1C7CYZ0;Q12979","ABR","Active breakpoint cluster region-related protein (Fragment);Active breakpoint cluster region-related protein;Active breakpoint cluster region-related protein",76833.109375,87285.5234375,77137.5546875,88396.4375,84131.796875,88975.078125,97210.578125,81551.9453125,78546.1015625,64372.5625,70867.0546875,72601.515625,55728.8984375,68333.8984375,55081.47265625,NA
"A0A0G2JRA5;B0QYV1;O43251","RBFOX2","RNA-binding protein fox-1 homolog 2 (Fragment);RNA binding protein fox-1 homolog 2;RNA binding protein fox-1 homolog 2",16722.9609375,17309.541015625,16635.013671875,20202.658203125,16702.427734375,14526.298828125,15835.8115234375,16537.34375,19811.443359375,20966.8359375,19987.197265625,21893.744140625,15855.94140625,15662.66015625,19624.607421875,NA
"A0A0J9YW18;F6RP06;Q12983","BNIP3","BCL2/adenovirus E1B 19 kDa protein-interacting protein 3 (Fragment);BCL2/adenovirus E1B 19 kDa protein-interacting protein 3 (Fragment);BCL2/adenovirus E1B 19 kDa protein-interacting protein 3",1279.00524902344,822.282836914063,646.763061523438,880.246826171875,1137.30358886719,2006.75830078125,2632.20458984375,1690.05798339844,2229.00170898438,2155.0234375,1316.74682617188,1558.92932128906,3797.06958007813,4538.044921875,3481.94995117188,NA
"A0A0J9YW36;Q9NZ72","STMN3","Stathmin-3 (Fragment);Stathmin-3",16622.490234375,17467.87890625,NA,8888.5849609375,NA,NA,NA,16178.650390625,27992.494140625,26684.322265625,16960.9609375,20387.20703125,171938.890625,211112.9375,173538.65625,NA
"A0A0J9YWB6;Q9Y5B0","CTDP1","RNA polymerase II subunit A C-terminal domain phosphatase (Fragment);RNA polymerase II subunit A C-terminal domain phosphatase",53018.12109375,48899.24609375,51150.11328125,42171.6484375,31802.130859375,30356.232421875,27788.353515625,30638.98046875,31722.197265625,31166.462890625,29442.4453125,29940.341796875,50091.66796875,55935.57421875,52119.4140625,NA
"A0A0J9YWD5;A0A0J9YYB5;B7ZM65;E9PJ24;F8WEF5;Q9P1Y6","PHRF1","PHD and RING finger domain-containing protein 1",21588.943359375,20002.27734375,21659.46484375,14603.6572265625,14926.0029296875,16303.50390625,15746.8955078125,15519.5693359375,17136.177734375,5742.30810546875,3772.70678710938,6027.50146484375,15428.4755859375,19673.92578125,19541.310546875,NA
"A0A0J9YWL0","CRYBG1","Beta/gamma crystallin domain-containing protein 1",22135.408203125,39799.92578125,26613.9140625,47454.83984375,21952.869140625,22613.75390625,21345.716796875,20902.9921875,62661.48828125,70126.4453125,60093.83984375,69249.96875,21398.123046875,21218.353515625,15360.591796875,NA
"A0A0J9YXF2","PON2","Paraoxonase 2, isoform CRA_a",58803.5,48289.20703125,45780.06640625,45627.5,36635.1953125,39505.8359375,31254.814453125,34248.26953125,42359.6796875,49253.34765625,50932.69921875,47829.63671875,57531.15234375,43758.66796875,50053.015625,NA
"A0A0J9YXM6;Q562E7","WDR81","WD repeat-containing protein 81",73682.875,69350.21875,69742.890625,58704.34765625,63919.51171875,60710.2578125,65331.8515625,65658.03125,50467.015625,34240.28125,45831.94140625,47913.6796875,57032.05078125,48893.94921875,53229.87890625,NA
"A0A0J9YXX5;Q9UHX1","PUF60","Poly(U)-binding-splicing factor PUF60 (Fragment);Poly(U)-binding-splicing factor PUF60",619713.3125,628926.75,610193.75,557025.8125,744878.25,717418.0625,738265.625,800901.5625,801705.6875,611346.875,574894.4375,595170.6875,777170.8125,751154.1875,810311.6875,NA
"A0A0J9YYJ0;Q8N129","CNPY4","Protein canopy homolog 4 (Fragment);Protein canopy homolog 4",21913.35546875,14997.4638671875,18294.119140625,13433.775390625,7414.76513671875,9857.1630859375,3935.15502929688,8812.3359375,18073.81640625,27285.75,23480.00390625,26099.35546875,8663.3583984375,6941.91552734375,9845.703125,NA
"A0A0J9YYL3","PUF60","Poly(U)-binding-splicing factor PUF60 (Fragment)",86665.828125,97244.828125,85350.9296875,83405.9296875,108387.734375,116517.3515625,107026.6640625,113117.015625,110135.0078125,99768.203125,96165.109375,96678.5625,116713.3671875,114293.8359375,127541.8203125,NA
"A0A0R4J2E8;P43243","MATR3","Matrin-3",515219.28125,482125.09375,483615.90625,498153.25,546644.0625,595020.375,542090.625,601804.3125,617381.875,471614.75,506015.15625,557392.5,547758.125,504963.53125,548444.5,644478
